j6048_7.sm
50 	 6 	 100
resR(0,65): 10.000000 x(37,0,58)  + 1.000000 x(56,0,60)  + 1.000000 x(60,0,60) <= 56 
resR(0,66): 10.000000 x(37,0,58)  + 1.000000 x(56,0,60)  + 1.000000 x(60,0,60) <= 56 
resR(0,67): 10.000000 x(37,0,58)  + 1.000000 x(56,0,60)  + 1.000000 x(60,0,60) <= 56 
resR(0,68): 1.000000 x(56,0,60)  + 1.000000 x(60,0,60) <= 56 
resR(0,69): 5.000000 x(58,0,69)  + 4.000000 x(59,0,69) <= 56 
resR(0,70): 5.000000 x(58,0,69) <= 56 
resR(0,71): 5.000000 x(58,0,69) <= 56 
resR(0,72): 5.000000 x(58,0,69)  + 10.000000 x(37,0,72) <= 56 
resR(0,73): 5.000000 x(58,0,69)  + 10.000000 x(37,0,72) <= 56 
resR(0,74): 5.000000 x(58,0,69)  + 10.000000 x(37,0,72) <= 56 
resR(0,75): 5.000000 x(58,0,69)  + 10.000000 x(37,0,72) <= 56 
resR(1,65): 6.000000 x(37,0,58)  + 5.000000 x(56,0,60)  + 9.000000 x(60,0,60) <= 57 
resR(1,66): 6.000000 x(37,0,58)  + 5.000000 x(56,0,60)  + 9.000000 x(60,0,60) <= 57 
resR(1,67): 6.000000 x(37,0,58)  + 5.000000 x(56,0,60)  + 9.000000 x(60,0,60) <= 57 
resR(1,68): 5.000000 x(56,0,60)  + 9.000000 x(60,0,60) <= 57 
resR(1,69): 6.000000 x(58,0,69)  + 3.000000 x(59,0,69) <= 57 
resR(1,70): 6.000000 x(58,0,69) <= 57 
resR(1,71): 6.000000 x(58,0,69) <= 57 
resR(1,72): 6.000000 x(58,0,69)  + 6.000000 x(37,0,72) <= 57 
resR(1,73): 6.000000 x(58,0,69)  + 6.000000 x(37,0,72) <= 57 
resR(1,74): 6.000000 x(58,0,69)  + 6.000000 x(37,0,72) <= 57 
resR(1,75): 6.000000 x(58,0,69)  + 6.000000 x(37,0,72) <= 57 
resR(2,65): 5.000000 x(37,0,58)  + 6.000000 x(56,0,60)  + 1.000000 x(60,0,60) <= 49 
resR(2,66): 5.000000 x(37,0,58)  + 6.000000 x(56,0,60)  + 1.000000 x(60,0,60) <= 49 
resR(2,67): 5.000000 x(37,0,58)  + 6.000000 x(56,0,60)  + 1.000000 x(60,0,60) <= 49 
resR(2,68): 6.000000 x(56,0,60)  + 1.000000 x(60,0,60) <= 49 
resR(2,69): 10.000000 x(58,0,69)  + 3.000000 x(59,0,69) <= 49 
resR(2,70): 10.000000 x(58,0,69) <= 49 
resR(2,71): 10.000000 x(58,0,69) <= 49 
resR(2,72): 10.000000 x(58,0,69)  + 5.000000 x(37,0,72) <= 49 
resR(2,73): 10.000000 x(58,0,69)  + 5.000000 x(37,0,72) <= 49 
resR(2,74): 10.000000 x(58,0,69)  + 5.000000 x(37,0,72) <= 49 
resR(2,75): 10.000000 x(58,0,69)  + 5.000000 x(37,0,72) <= 49 
resR(3,65): 8.000000 x(37,0,58)  + 7.000000 x(56,0,60)  + 7.000000 x(60,0,60) <= 46 
resR(3,66): 8.000000 x(37,0,58)  + 7.000000 x(56,0,60)  + 7.000000 x(60,0,60) <= 46 
resR(3,67): 8.000000 x(37,0,58)  + 7.000000 x(56,0,60)  + 7.000000 x(60,0,60) <= 46 
resR(3,68): 7.000000 x(56,0,60)  + 7.000000 x(60,0,60) <= 46 
resR(3,69): 4.000000 x(58,0,69)  + 8.000000 x(59,0,69) <= 46 
resR(3,70): 4.000000 x(58,0,69) <= 46 
resR(3,71): 4.000000 x(58,0,69) <= 46 
resR(3,72): 4.000000 x(58,0,69)  + 8.000000 x(37,0,72) <= 46 
resR(3,73): 4.000000 x(58,0,69)  + 8.000000 x(37,0,72) <= 46 
resR(3,74): 4.000000 x(58,0,69)  + 8.000000 x(37,0,72) <= 46 
resR(3,75): 4.000000 x(58,0,69)  + 8.000000 x(37,0,72) <= 46 
modeSel(37): 1.000000 x(37,0,58)  + 1.000000 x(37,0,72) <= 1 
modeSel(56): 1.000000 x(56,0,60) <= 1 
modeSel(58): 1.000000 x(58,0,69) <= 1 
modeSel(59): 1.000000 x(59,0,69) <= 1 
modeSel(60): 1.000000 x(60,0,60) <= 1 
conflictCL(49): 1.000000 x(37,0,58)  + 1.000000 x(37,0,72) <= 1 
x(37,0,58) = 0.461538
x(56,0,60) = 1.000000
x(60,0,60) = 0.822222
x(58,0,69) = 1.000000
x(59,0,69) = 0.461538
x(37,0,72) = 0.538462
resR(0,65) 14 65 75
resR(0,66) 14 65 75
resR(0,67) 14 65 75
resR(0,68) 14 65 75
resR(0,69) 14 65 75
resR(0,70) 14 65 75
resR(0,71) 14 65 75
resR(0,72) 14 65 75
resR(0,73) 14 65 75
resR(0,74) 14 65 75
resR(0,75) 14 65 75
resR(1,65) 14 65 75
resR(1,66) 14 65 75
resR(1,67) 14 65 75
resR(1,68) 14 65 75
resR(1,69) 14 65 75
resR(1,70) 14 65 75
resR(1,71) 14 65 75
resR(1,72) 14 65 75
resR(1,73) 14 65 75
resR(1,74) 14 65 75
resR(1,75) 14 65 75
resR(2,65) 14 65 75
resR(2,66) 14 65 75
resR(2,67) 14 65 75
resR(2,68) 14 65 75
resR(2,69) 14 65 75
resR(2,70) 14 65 75
resR(2,71) 14 65 75
resR(2,72) 14 65 75
resR(2,73) 14 65 75
resR(2,74) 14 65 75
resR(2,75) 14 65 75
resR(3,65) 14 65 75
resR(3,66) 14 65 75
resR(3,67) 14 65 75
resR(3,68) 14 65 75
resR(3,69) 14 65 75
resR(3,70) 14 65 75
resR(3,71) 14 65 75
resR(3,72) 14 65 75
resR(3,73) 14 65 75
resR(3,74) 14 65 75
resR(3,75) 14 65 75
modeSel(37) 16 65 75
modeSel(56) 16 65 75
modeSel(58) 16 65 75
modeSel(59) 16 65 75
modeSel(60) 16 65 75
conflictCL(49) 18 65 75
